label,URL,suspicious,outcome,time
1,https://www.visual-home.es,yes,fail,45.67422151565552
1,https://www.mealsonwheels4u.com,yes,fail,6.24085259437561
1,https://www.scottishmaritimemuseum.org,yes,fail,90.00597548484802
1,https://www.paygo.lk,yes,fail,37.87555241584778
0,http://burghdogs.com/landmarkcuauth,yes,success,6.803623914718628
0,http://www.915783.com,yes,success,9.555710077285767
0,http://www.na1.player1532.com,yes,success,6.527835130691528
1,https://www.kurzurlaub.de,yes,fail,13.664674282073975
1,https://www.grpva.com,yes,fail,55.90068459510803
0,https://fb-business-appeal-4066b.web.app/,yes,success,4.74133038520813
0,https://attcom-102201.square.site/,yes,success,6.359419345855713
1,https://www.climate.com,yes,fail,39.28931427001953
0,https://upyq8ess.dreamwp.com/dkskat/,yes,success,6.285779237747192
0,https://fb-business-appeal-57a8f.firebaseapp.com/,yes,success,5.125324249267578
1,https://www.rewildingchile.org,yes,fail,67.2858419418335
1,https://www.megcampbelldesigns.com,yes,fail,4.2559568881988525
0,https://s.id/tanaktualisierung,yes,success,6.6061155796051025
0,http://www.web-design.review,yes,success,7.032194375991821
1,https://www.birding.in,yes,fail,4.089905500411987
1,https://www.wcs.k12.va.us,yes,fail,30.116902351379395
1,https://www.jaysonjewelers.com,yes,fail,92.77140402793884
0,http://www.thenaijatimes.com,yes,success,4.015417575836182
1,https://www.paulox.net,yes,fail,12.275130271911621
1,https://www.ci.quartzsite.az.us,no,success,71.2067539691925
1,https://www.videogameconsolelibrary.com,yes,fail,17.343948125839233
1,https://www.abmp.com,yes,fail,61.3002073764801
1,https://www.satcentrum.com,yes,fail,27.931227684020996
0,https://support-management-76454.web.app/,yes,success,8.503448486328125
1,https://www.ladbs.org,yes,fail,47.37989044189453
1,https://www.phenoapps.org,yes,fail,26.52913236618042
0,https://www.faewood.com,yes,success,3.1430037021636963
0,https://maidlier.godaddysites.com/,yes,success,4.459496259689331
0,http://www.amazceczm-co-jp.amazaeocn.50220.top/,yes,success,6.442547082901001
1,https://www.suganthan.com,yes,fail,4.103181838989258
0,http://www.registroinformado.bar,yes,success,4.876818895339966
1,https://www.canalsocietynj.org,yes,fail,4.373251676559448
1,https://www.appliancerepairhoboken.com,no,success,35.74484086036682
1,https://www.montraykreyol.org,yes,fail,6.529374599456787
1,https://www.driv.de,yes,fail,129.00801038742065
1,https://www.lathiskitchen.org,yes,fail,42.82868266105652
0,http://www.tradeadspace.info,yes,success,18.71009588241577
1,https://www.michaelsnewyork.com,yes,fail,85.6558609008789
1,https://www.itnews.com.au,yes,fail,30.51083755493164
0,http://con2dapps.com,yes,success,4.742802858352661
1,https://www.wise-qatar.org,yes,fail,181.26172995567322
1,https://www.nhregister.com,yes,fail,4.103475570678711
1,https://www.deathmetal.org,yes,fail,13.674070596694946
1,https://www.lighthouse-fotografie.de,yes,fail,59.040751695632935
